ITEM,Consumo
28/07/2002,11248.6331371945
29/07/2002,13688.7325686248
30/07/2002,13909.5608549994
31/07/2002,13830.4692554553
01/08/2002,13899.5082864592
02/08/2002,13836.9523491142
03/08/2002,12978.2609322547
04/08/2002,11829.9004869477
05/08/2002,13996.2090449123
06/08/2002,14260.9261401940
07/08/2002,14259.5639093539
08/08/2002,14281.7532864824
09/08/2002,14368.6575092542
10/08/2002,13288.4598518403
11/08/2002,11905.2144626803
12/08/2002,14226.7065388406
13/08/2002,14551.7674430756
14/08/2002,14458.0378012173
15/08/2002,13033.2431252786
16/08/2002,13715.7040281772
17/08/2002,13184.6903210334
18/08/2002,11969.8083719613
19/08/2002,14313.3452669174
20/08/2002,14546.9607814927
21/08/2002,14804.6326156161
22/08/2002,14665.7025737644
23/08/2002,14656.0896209954
24/08/2002,13373.9924198466
25/08/2002,12293.8041816224
26/08/2002,14589.5948612421
27/08/2002,14784.0017193385
28/08/2002,14833.5363572253
29/08/2002,14832.2956734065
30/08/2002,14773.7506757340
31/08/2002,13476.4923637216
01/09/2002,12203.2160421680
02/09/2002,14603.4569283491
03/09/2002,14732.7784668493
04/09/2002,14576.0793182135
05/09/2002,14417.4269515642
06/09/2002,14500.0740168596
07/09/2002,12519.9920443861
08/09/2002,12086.2274698207
09/09/2002,14564.8773776148
10/09/2002,14882.8631900385
11/09/2002,14708.6540091294
12/09/2002,14811.4809215737
13/09/2002,14751.7204348176
14/09/2002,13570.0724401442
15/09/2002,12423.1942877400
16/09/2002,14664.4195162013
17/09/2002,14870.7732290031
18/09/2002,14952.1352188452
19/09/2002,15046.5110703665
20/09/2002,15074.0020067138
21/09/2002,13852.0006087092
22/09/2002,12572.4031853521
23/09/2002,14914.7379512139
24/09/2002,14987.5205518565
25/09/2002,14934.3746497995
26/09/2002,15020.6773598113
27/09/2002,15014.1525796124
28/09/2002,13480.9569774481
29/09/2002,12182.6168909191
30/09/2002,14387.5753048792
01/10/2002,14636.4607950072
02/10/2002,14848.6117234458
03/10/2002,14939.6046497146
04/10/2002,14978.2816578732
05/10/2002,13562.9927740137
06/10/2002,12102.5891346557
07/10/2002,14483.8566563620
08/10/2002,14935.7437817428
09/10/2002,15050.3757127918
10/10/2002,15175.0409179270
11/10/2002,15000.3410696198
12/10/2002,13112.9977585173
13/10/2002,11988.8282634015
14/10/2002,14324.2625979639
15/10/2002,14550.9940993051
16/10/2002,14730.8807046583
17/10/2002,14817.7018793201
18/10/2002,14659.9634307345
19/10/2002,13453.8050693505
20/10/2002,12155.2672707026
21/10/2002,14610.8864338811
22/10/2002,14952.6409515039
23/10/2002,14934.0567800044
24/10/2002,14948.1801623008
25/10/2002,14843.2634002395
26/10/2002,13592.6368109153
27/10/2002,12150.8589598977
28/10/2002,13674.5987641177
29/10/2002,15015.9599638168
30/10/2002,14974.3316953206
31/10/2002,15029.7949627085
01/11/2002,14861.6883459810
02/11/2002,13027.5098070655
03/11/2002,11573.4171842914
04/11/2002,14438.5778141360
05/11/2002,14762.3583947807
06/11/2002,14785.8302204882
07/11/2002,14985.9742434068
08/11/2002,14943.1936795179
09/11/2002,13435.2190342742
10/11/2002,12137.4116122305
11/11/2002,14558.9528654957
12/11/2002,14991.2524801402
13/11/2002,15143.8978509559
14/11/2002,15042.8535394391
15/11/2002,13230.5993395274
16/11/2002,13428.2888675288
17/11/2002,12273.6771220263
18/11/2002,14539.8214543670
19/11/2002,14988.2257586447
20/11/2002,14973.9380897122
21/11/2002,15145.7419644298
22/11/2002,15117.0133570963
23/11/2002,13823.6970792387
